,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT,KHOU,KHOU_squared,orig.id
53051,1/21/16 5:00,8293.935152,1032.789822,2023.347655,788.0578648,10358.40845,2074.396492,4779.541816,987.3213731,30337.79863,62.312,3882.785344,53051
20904,5/21/12 13:00,13447.84737,1745.138529,1572.765961,846.5213216,15404.4219,3687.513371,7489.815039,1211.511694,45405.53519,78.962,6234.997444,20904
56905,6/29/16 19:00,17003.08843,2073.293408,2573.664645,1215.726905,21028.77767,4868.81038,10428.60015,1613.296885,60805.25848,92.912,8632.639744,56905
141,1/6/10 21:00,10367.71038,1607.337644,1296.254692,1035.463654,14312.50847,2886.490794,6571.940347,1207.909187,39285.61516,57.362,3290.399044,141
49838,9/9/15 8:00,11739.8548,1529.320723,2123.092004,880.0771562,14239.15013,3453.913437,7235.331148,1199.643061,42400.38246,77.162,5953.974244,49838
20856,5/19/12 13:00,11906.71004,1438.234096,1554.651862,899.8950299,13971.45719,3587.074559,6799.279103,1133.308741,41290.61063,77.162,5953.974244,20856
45040,2/21/15 9:00,8680.607457,1056.818819,1916.203893,762.6875175,9918.998387,2342.743631,4766.890465,942.3407445,30387.29091,65.012,4226.560144,45040
34667,12/16/13 2:00,9670.50408,1397.975397,1691.324279,768.6962223,11445.30661,3062.895956,5888.299207,1098.009884,35023.01164,42.962,1845.733444,34667
54104,3/5/16 2:00,7786.56589,969.6784803,1843.678289,614.8878338,8293.222707,2185.335991,4063.189758,846.8567757,26603.41572,60.062,3607.443844,54104
4035,6/18/10 5:00,10038.58636,1272.254599,1163.059282,812.8865613,11837.95375,2639.615915,5509.654571,968.0537123,34242.06476,80.762,6522.500644,4035
1822,3/18/10 0:00,7684.7695,1068.7436,1075.83093,705.67471,9009.6641,1968.7648,4196.40102,787.90966,26497.75832,64.562,4168.251844,1822
24209,10/6/12 6:00,8059.51057,935.2277657,1238.077978,580.3567005,7864.141879,2177.377115,4345.386796,752.8453178,25952.92412,66.362,4403.915044,24209
44190,1/16/15 21:00,10762.34566,1463.266966,2066.504394,845.9489642,12513.70175,3170.19102,6089.559659,1140.834985,38052.35339,59.162,3500.142244,44190
9889,2/17/11 5:00,7124.39776,895.6101446,1069.924747,608.1578154,7899.671725,1815.726332,3743.657211,708.9524578,23866.09819,60.962,3716.365444,9889
34013,11/18/13 18:00,10780.03222,1323.539839,1661.910892,751.4992351,11387.40326,3521.058779,6418.005302,1013.363614,36856.81314,75.362,5679.431044,34013
30378,6/20/13 7:00,10774.89878,1268.680348,1573.518096,759.3864183,12254.48789,2940.03426,6148.09231,965.2351862,36684.33329,78.962,6234.997444,30378
44803,2/11/15 12:00,9892.581128,1157.830012,1985.808908,771.8082459,10979.69112,2620.580221,5271.235852,975.628183,33655.16367,51.512,2653.486144,44803
46591,4/27/15 0:00,10385.7851,1167.26353,1825.62352,650.72225,10281.7534,3316.4048,6034.82839,911.03761,34573.4186,75.812,5747.459344,46591
47324,5/27/15 13:00,12461.75855,1614.753369,2256.427706,859.1591166,13903.0743,4064.971748,7303.907003,1201.295429,43665.34722,68.162,4646.058244,47324
41013,9/6/14 12:00,14736.31254,1850.141413,1922.817911,903.9111289,17373.25086,3968.259355,8075.315964,1206.06539,50036.07456,78.962,6234.997444,41013
21516,6/16/12 1:00,11109.25616,1281.305695,1486.017042,825.4796811,12914.38757,3299.694307,6767.254827,1136.058703,38819.45399,82.562,6816.483844,21516
11755,5/5/11 23:00,9536.125255,1149.076283,1313.179323,734.3073753,10793.3961,2967.599169,5805.659943,956.3516925,33255.69514,75.362,5679.431044,11755
54780,4/2/16 6:00,7874.792301,1069.273553,2004.331568,647.5492787,8988.009944,2063.036903,4444.691759,923.8554141,28015.54072,52.862,2794.391044,54780
11037,4/6/11 1:00,7336.749384,974.0842959,1118.833637,609.6501609,8013.31265,2040.182467,3901.858421,736.1140207,24730.78504,62.762,3939.068644,11037
